Student_ID,Age,Gender,Hours_Studied,Attendance,Sleep_Hours,Stress_Level,Screen_Time,Previous_GPA,Part_Time_Job,Study_Method,Diet_Quality,Internet_Quality,Extracurricular,Tutoring_Sessions_Per_Week,Family_Income_Level,Exam_Anxiety_Score,Final_Score
STU00001,17,Female,8.2,80,7.3,2.3,3.2,3.07,No,Online,Average,Average,Yes,3,High,1.8,87.1
STU00002,22,Male,4.07,69.2,7.9,3.6,0.5,2.66,Yes,Offline,Average,Good,No,2,Middle,1,92.03
STU00003,23,Female,5.07,74.2,6.7,2.6,4.7,3.27,No,Hybrid,Average,Good,No,1,Middle,4.2,95.37
STU00004,22,Female,5.82,82.5,3.7,3.3,2.3,2.87,No,Offline,Average,Excellent,No,0,Middle,3.6,90.73
STU00005,21,Male,3.42,90.8,7.4,7,3.1,2.82,Yes,Offline,Average,Good,No,2,Middle,4.5,74.71
STU00006,22,Female,5,82.7,6.5,9.1,3.8,3.16,No,Hybrid,Good,Average,No,1,High,1.4,93.98
STU00007,17,Male,5,78.9,5,7.8,3,2.92,No,Online,Average,Good,Yes,1,Middle,4.2,64.99
STU00008,19,Male,1.49,77.4,6,6.2,4.7,2.08,No,Offline,Average,Average,Yes,0,Middle,7.1,44.64
STU00009,21,Female,7.04,95.6,6.7,3,2.7,3.28,No,Online,Poor,Poor,No,2,High,4,96.95
STU00010,19,Female,6.2,71.9,6.4,4.6,5,2.05,No,Hybrid,Average,Average,Yes,0,High,4.3,81.24
STU00011,21,Female,3.75,75.4,6.7,4.4,4.4,3.05,No,Online,Average,Average,Yes,2,Middle,6.5,83.59
STU00012,19,Male,4.66,83.5,7.1,9.4,4.8,2.95,Yes,Offline,Average,Excellent,Yes,2,Middle,4.2,74.7
STU00013,18,Non-Binary,6.01,92.7,5.8,6.7,3.2,3.09,No,Hybrid,Average,Average,No,2,Low,6.8,76.46
STU00014,19,Male,5.1,62.9,7.7,4.8,0.5,3.49,Yes,Online,Good,Average,No,1,Low,4.6,86.11
STU00015,22,Male,4.67,89.6,6.5,5.1,0.9,2.54,No,Online,Average,Excellent,Yes,2,Low,3.5,99.7
STU00016,18,Male,2.09,91.5,5.2,4.7,3.8,2.62,No,Offline,Good,Average,No,1,High,7,66.51
STU00017,19,Female,6.11,82.5,5.7,5,5.5,3.23,Yes,Online,Average,Poor,No,0,Low,3.2,87.87
STU00018,21,Female,5.25,61.2,5.9,4.4,3.1,2.7,No,Hybrid,Average,Average,Yes,2,Middle,3.4,92.06
STU00019,21,Female,5.55,72.9,8,4.9,4.2,3.59,Yes,Online,Good,Average,Yes,4,Middle,1.7,96.51
STU00020,24,Female,1.95,78.5,7.2,5.1,5.7,2.62,No,Hybrid,Average,Average,No,0,High,7.3,61.96
STU00021,21,Male,8.3,82.8,6.5,10,3,3.42,No,Offline,Good,Poor,No,0,Low,4.6,87.96
STU00022,20,Female,5.31,67.6,7,3.5,3.9,3.45,No,Hybrid,Average,Good,Yes,1,Middle,6,85.08
STU00023,17,Male,4.23,77.5,6.4,8.1,5.8,3.31,Yes,Offline,Good,Average,Yes,1,Middle,5.1,77.73
STU00024,21,Female,9.06,87,6.5,3.8,3,2.61,Yes,Offline,Good,Average,Yes,4,Middle,5.2,97.15
STU00025,18,Male,4.91,74.5,7.7,10,5.3,3.23,No,Offline,Poor,Excellent,Yes,3,Middle,3.5,81.12
