Age,Gender,Hours_Studied,Attendance,Sleep_Hours,Stress_Level,Screen_Time,Previous_GPA,Part_Time_Job,Study_Method,Diet_Quality,Internet_Quality,Extracurricular,Tutoring_Sessions_Per_Week,Family_Income_Level,Exam_Anxiety_Score,Final_Score,Predikat,Kelompok_Jam_Belajar,Kelompok_Kehadiran,Kelompok_Stres
17,Female,8.2,80.0,7.3,2.3,3.2,3.07,No,Online,Average,Average,Yes,3,High,1.8,87.1,Baik (75-90),> 8 jam,80-90%,Rendah (1-3)
22,Male,4.07,69.2,7.9,3.6,0.5,2.66,Yes,Offline,Average,Good,No,2,Middle,1.0,92.03,Sangat Baik (>90),4-6 jam,60-70%,Sedang (3-5)
23,Female,5.07,74.2,6.7,2.6,4.7,3.27,No,Hybrid,Average,Good,No,1,Middle,4.2,95.37,Sangat Baik (>90),4-6 jam,70-80%,Rendah (1-3)
22,Female,5.82,82.5,3.7,3.3,2.3,2.87,No,Offline,Average,Excellent,No,0,Middle,3.6,90.73,Sangat Baik (>90),4-6 jam,80-90%,Sedang (3-5)
21,Male,3.42,90.8,7.4,7.0,3.1,2.82,Yes,Offline,Average,Good,No,2,Middle,4.5,74.71,Cukup (60-75),2-4 jam,>90%,Sangat Tinggi (7-10)
22,Female,5.0,82.7,6.5,9.1,3.8,3.16,No,Hybrid,Good,Average,No,1,High,1.4,93.98,Sangat Baik (>90),4-6 jam,80-90%,Sangat Tinggi (7-10)
17,Male,5.0,78.9,5.0,7.8,3.0,2.92,No,Online,Average,Good,Yes,1,Middle,4.2,64.99,Cukup (60-75),4-6 jam,70-80%,Sangat Tinggi (7-10)
19,Male,1.49,77.4,6.0,6.2,4.7,2.08,No,Offline,Average,Average,Yes,0,Middle,7.1,44.64,Kurang (<60),0-2 jam,70-80%,Tinggi (5-7)
21,Female,7.04,95.6,6.7,3.0,2.7,3.28,No,Online,Poor,Poor,No,2,High,4.0,96.95,Sangat Baik (>90),6-8 jam,>90%,Sedang (3-5)
19,Female,6.2,71.9,6.4,4.6,5.0,2.05,No,Hybrid,Average,Average,Yes,0,High,4.3,81.24,Baik (75-90),6-8 jam,70-80%,Sedang (3-5)
